Date,Region,State,Sales Rep,Product,Category,Units Sold,Revenue,Profit,Customer Type,Customer Segment,Channel,Profit Margin
2023-11-09,West,Illinois,Charlie,Epsilon,Office Supplies,11,384.02,44.09,New,SMB,Online,11.481172855580441
2023-11-09,West,Illinois,Charlie,Delta,Office Supplies,19,506.81,63.78,Returning,Individual,Online,12.584597778260099
2023-11-09,East,North Carolina,Diana,Alpha,Office Supplies,23,1291.59,157.82,New,Enterprise,Retail,12.219047840258906
2023-11-09,North,Michigan,Diana,Epsilon,Electronics,5,473.43,165.93,New,SMB,Retail,35.04847601546163
2023-11-09,East,Michigan,Bob,Alpha,Electronics,32,1006.17,188.26,Returning,Individual,Online,18.71055587028037
2023-11-08,West,New York,Charlie,Beta,Office Supplies,25,1739.67,458.63,Returning,Enterprise,Online,26.363045865020375
2023-11-08,West,California,Alice,Beta,Furniture,38,1983.47,446.11,New,Individual,Online,22.491391349503647
2023-11-08,East,North Carolina,Diana,Alpha,Electronics,22,618.59,115.72,Returning,Individual,Online,18.707059603291356
2023-11-08,South,Michigan,Bob,Delta,Office Supplies,50,4860.88,1198.14,Returning,Enterprise,Online,24.64862329454749
2023-11-08,South,North Carolina,Charlie,Alpha,Electronics,12,935.22,244.85,New,SMB,Online,26.181005538803703
2023-11-08,West,Ohio,Bob,Beta,Office Supplies,27,1309.68,167.62,New,SMB,Retail,12.798546209761163
2023-11-08,West,Georgia,Charlie,Delta,Furniture,24,762.39,218.1,New,Enterprise,Online,28.60740565852123
2023-11-07,West,Pennsylvania,Charlie,Epsilon,Office Supplies,29,1855.22,673.55,New,Enterprise,Retail,36.30566725240133
2023-11-07,East,Florida,Bob,Alpha,Furniture,42,2778.74,674.66,New,SMB,Retail,24.27934963328703
2023-11-07,North,New York,Alice,Alpha,Furniture,25,883.4,167.3,Returning,Individual,Online,18.938193343898575
2023-11-06,North,New York,Bob,Beta,Electronics,19,555.19,78.27,New,Enterprise,Retail,14.097876402672957
2023-11-06,South,Michigan,Charlie,Gamma,Furniture,39,3657.64,1297.34,New,SMB,Online,35.46931901444647
2023-11-06,North,Ohio,Alice,Beta,Electronics,15,870.6,198.45,Returning,Enterprise,Online,22.794624396967606
2023-11-06,North,Pennsylvania,Alice,Beta,Furniture,39,1815.74,306.95,New,SMB,Online,16.90495335235221
2023-11-06,West,New York,Alice,Delta,Office Supplies,21,1358.44,172.97,Returning,Enterprise,Retail,12.732987838991782
2023-11-06,North,Illinois,Charlie,Delta,Electronics,45,3145.12,735.02,Returning,Enterprise,Online,23.37017347509793
2023-11-05,South,Ohio,Bob,Alpha,Electronics,8,331.26,92.94,New,Individual,Online,28.05651150153958
2023-11-05,West,Pennsylvania,Bob,Alpha,Electronics,26,673.34,70.59,New,SMB,Retail,10.483559568717142
2023-11-04,North,Michigan,Diana,Epsilon,Electronics,19,1699.57,436.05,Returning,Enterprise,Retail,25.65648958265914
2023-11-04,North,Florida,Bob,Alpha,Office Supplies,16,341.97,82.57,Returning,Individual,Online,24.14539287071965
2023-11-03,East,North Carolina,Alice,Delta,Office Supplies,17,1244.32,388.09,New,SMB,Online,31.18892246367494
2023-11-03,North,Ohio,Diana,Epsilon,Office Supplies,40,840.7,270.96,Returning,Individual,Online,32.23028428690377
2023-11-03,North,Illinois,Bob,Epsilon,Furniture,41,4008.81,1143.55,New,Enterprise,Retail,28.525921657549247
2023-11-03,East,Pennsylvania,Diana,Gamma,Electronics,16,587.14,99.66,New,Enterprise,Retail,16.973805225329563
2023-11-02,West,Georgia,Charlie,Delta,Electronics,21,2061.15,618.14,New,Individual,Online,29.990054096014358
2023-11-01,East,Illinois,Alice,Beta,Office Supplies,23,737.41,267.4,New,SMB,Retail,36.262052318249005
2023-11-01,West,Texas,Alice,Alpha,Furniture,48,3845.76,495.72,New,Enterprise,Online,12.890039940089865
2023-11-01,West,California,Diana,Epsilon,Furniture,30,2002.55,233.27,Returning,Individual,Retail,11.648647973833363
2023-10-31,West,Michigan,Charlie,Gamma,Furniture,23,1090.9,354.89,Returning,Individual,Online,32.53185443212027
2023-10-31,North,New York,Diana,Delta,Office Supplies,48,4778.61,1803.15,Returning,Enterprise,Online,37.733776139923535
2023-10-31,West,Texas,Alice,Gamma,Electronics,40,3297.08,407.88,New,SMB,Retail,12.370946413189852
2023-10-31,South,Michigan,Charlie,Epsilon,Electronics,7,436.1,46.22,Returning,Enterprise,Retail,10.598486585645492
2023-10-31,North,Florida,Alice,Beta,Furniture,5,432.53,143.34,Returning,Individual,Online,33.1398978105565
2023-10-30,East,California,Charlie,Delta,Furniture,41,2492.01,463.23,Returning,SMB,Online,18.58860919498718
2023-10-30,North,Pennsylvania,Bob,Epsilon,Office Supplies,25,1364.66,149,Returning,Individual,Retail,10.918470534785222
2023-10-30,North,Ohio,Alice,Alpha,Electronics,41,2113.51,774.53,New,SMB,Retail,36.64662102379454
2023-10-29,North,Michigan,Diana,Beta,Furniture,21,864,256.9,New,SMB,Online,29.733796296296294
2023-10-29,South,Florida,Bob,Alpha,Office Supplies,29,1942.28,583.55,Returning,Individual,Online,30.04458677430648
2023-10-29,West,North Carolina,Charlie,Epsilon,Furniture,22,1476.67,480.13,Returning,Enterprise,Online,32.51437355671884
2023-10-28,North,Illinois,Charlie,Beta,Electronics,4,261.74,61.12,Returning,Individual,Retail,23.35141743715137
2023-10-28,West,Texas,Bob,Beta,Furniture,31,1060.26,370.12,New,SMB,Online,34.908418689755344
2023-10-28,South,Michigan,Bob,Alpha,Electronics,39,3050.58,522.36,Returning,SMB,Online,17.123301142733514
2023-10-28,South,Pennsylvania,Charlie,Alpha,Electronics,23,2095.13,253.21,Returning,SMB,Online,12.085646236749032
2023-10-27,West,New York,Alice,Gamma,Electronics,15,1100.73,217.67,New,Enterprise,Online,19.775058370354216
2023-10-27,North,Michigan,Charlie,Gamma,Office Supplies,21,1209.09,441.67,Returning,Enterprise,Retail,36.52912520986858
2023-10-26,West,New York,Charlie,Delta,Office Supplies,29,1559.13,323.59,New,SMB,Retail,20.75452335597416
2023-10-26,West,New York,Bob,Delta,Office Supplies,17,865.49,169.9,New,Individual,Online,19.63049833042554
2023-10-25,West,Georgia,Charlie,Alpha,Furniture,20,1532.35,207.49,Returning,SMB,Retail,13.540640193167357
2023-10-25,North,Florida,Alice,Alpha,Furniture,19,1611.09,163.72,New,Enterprise,Retail,10.162064192565284
2023-10-25,East,Pennsylvania,Alice,Epsilon,Electronics,47,2363.12,550.74,New,SMB,Online,23.305629845289282
2023-10-24,West,Ohio,Charlie,Epsilon,Office Supplies,24,576.94,159.29,New,Enterprise,Online,27.60945678926751
2023-10-24,South,Texas,Alice,Epsilon,Furniture,11,484.62,78.09,Returning,Individual,Retail,16.11365606041847
2023-10-24,East,Georgia,Diana,Epsilon,Furniture,33,2409.04,604.69,New,Individual,Retail,25.100870056121945
2023-10-23,East,Michigan,Charlie,Alpha,Office Supplies,7,437.95,97.69,Returning,Enterprise,Retail,22.306199337823955
2023-10-23,West,New York,Bob,Beta,Furniture,34,2291.33,672.83,New,Enterprise,Retail,29.364168408740777
2023-10-23,North,California,Alice,Gamma,Electronics,16,1466.65,498.01,Returning,Individual,Retail,33.955613131967404
2023-10-22,East,Illinois,Charlie,Epsilon,Office Supplies,1,50.51,15.25,Returning,Enterprise,Online,30.192041179964363
2023-10-21,West,Michigan,Diana,Epsilon,Furniture,15,818.38,101.01,Returning,SMB,Retail,12.342676996016522
2023-10-21,East,Ohio,Charlie,Gamma,Office Supplies,37,1548.65,376.28,Returning,SMB,Retail,24.297291189100182
2023-10-21,South,Ohio,Alice,Alpha,Electronics,47,4035.25,530.98,New,Individual,Online,13.158540363050616
2023-10-20,South,Georgia,Alice,Alpha,Furniture,6,159.96,23.36,New,Enterprise,Online,14.603650912728181
2023-10-20,West,Michigan,Diana,Gamma,Furniture,2,41.63,7.6,Returning,Individual,Retail,18.256065337496995
2023-10-20,East,Illinois,Diana,Gamma,Office Supplies,33,885.97,335.91,New,Individual,Retail,37.91437633328442
2023-10-20,East,California,Diana,Gamma,Electronics,14,1111.1,424.45,New,SMB,Retail,38.200882008820095
2023-10-19,North,Illinois,Charlie,Delta,Office Supplies,3,215.29,81.13,New,Individual,Online,37.68405406660783
2023-10-19,North,North Carolina,Alice,Delta,Furniture,27,2258.49,425.32,New,SMB,Retail,18.832051503438137
2023-10-19,East,New York,Charlie,Gamma,Electronics,23,1966.01,468.74,New,Individual,Online,23.842198157689943
2023-10-18,North,California,Alice,Epsilon,Office Supplies,50,4995.69,1582.13,New,Individual,Retail,31.669899453328775
2023-10-18,West,Pennsylvania,Diana,Gamma,Office Supplies,13,773.68,121.09,New,SMB,Retail,15.651173611829181
2023-10-18,West,Texas,Diana,Gamma,Electronics,4,120.22,17.26,Returning,SMB,Online,14.357012144401931
2023-10-18,West,Florida,Diana,Delta,Electronics,28,921.94,246.32,Returning,SMB,Retail,26.7175738117448
2023-10-17,West,Texas,Alice,Epsilon,Office Supplies,27,1295.42,236.93,New,Enterprise,Retail,18.289821061894983
2023-10-17,South,Pennsylvania,Charlie,Beta,Electronics,1,29.01,10.56,Returning,Individual,Retail,36.40124095139607
2023-10-16,South,Florida,Bob,Epsilon,Office Supplies,30,2553.14,561.87,Returning,Enterprise,Online,22.007018808212635
2023-10-14,East,Georgia,Charlie,Alpha,Office Supplies,38,2772.35,718.97,Returning,SMB,Online,25.93359424315112
2023-10-14,North,North Carolina,Bob,Gamma,Office Supplies,21,635.13,108.61,New,Individual,Retail,17.10043613118574
2023-10-14,East,Florida,Bob,Epsilon,Furniture,8,356.76,116.36,New,SMB,Online,32.61576409911425
2023-10-14,East,Illinois,Diana,Delta,Electronics,29,1052.65,304.14,Returning,SMB,Retail,28.89279437609841
2023-10-14,North,New York,Bob,Alpha,Electronics,46,4019.52,678.45,Returning,Enterprise,Online,16.878881060425126
2023-10-13,East,North Carolina,Alice,Alpha,Furniture,40,3338.94,1330.78,New,Enterprise,Online,39.85636159978915
2023-10-13,North,Illinois,Bob,Beta,Furniture,35,3072.46,395.88,New,Enterprise,Retail,12.884789387005851
2023-10-13,North,Ohio,Diana,Alpha,Office Supplies,31,1013.46,340.06,New,Enterprise,Online,33.55435833678685
2023-10-12,South,California,Bob,Gamma,Furniture,7,302.63,107.34,New,SMB,Retail,35.46905462115454
2023-10-11,West,California,Diana,Gamma,Office Supplies,29,2874.81,957.66,Returning,Enterprise,Online,33.3121145397435
2023-10-10,South,California,Charlie,Alpha,Office Supplies,38,1762.1,690.36,Returning,Enterprise,Retail,39.17825322058907
2023-10-10,East,Texas,Diana,Delta,Office Supplies,29,688.95,95.91,New,Enterprise,Online,13.921184411060308
2023-10-09,North,New York,Bob,Epsilon,Office Supplies,9,431.07,114.16,New,Enterprise,Retail,26.482937805924788
2023-10-09,North,New York,Alice,Gamma,Furniture,9,322.82,48.51,New,SMB,Online,15.0269500030977
